CustomerKey,FirstName,LastName,FullName,Gender,Address,DateFirstPurchase,City,PostCode
11000,Jon,Yang,Jon Yang,Male,3761 N. 14th St,2020-01-19,Rockhampton,4700
11001,Eugene,Huang,Eugene Huang,Male,2243 W St.,2020-01-15,Seaford,3198
11002,Ruben,Torres,Ruben Torres,Male,5844 Linden Land,2020-01-07,Hobart,7001
11003,Christy,Zhu,Christy Zhu,Female,1825 Village Pl.,2019-12-29,North Ryde,2113
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,7553 Harness Circle,2020-01-23,Wollongong,2500
11005,Julio,Ruiz,Julio Ruiz,Male,7305 Humphrey Drive,2019-12-30,East Brisbane,4169
11006,Janet,Alvarez,Janet Alvarez,Female,2612 Berry Dr,2020-01-24,Matraville,2036
11007,Marco,Mehta,Marco Mehta,Male,942 Brook Street,2020-01-09,Warrnambool,3280
11008,Rob,Verhoff,Rob Verhoff,Female,624 Peabody Road,2020-01-25,Bendigo,3550
11009,Shannon,Carlson,Shannon Carlson,Male,3839 Northgate Road,2020-01-27,Hervey Bay,4655
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,7800 Corrinne Court,2020-01-14,East Brisbane,4169
11011,Curtis,Lu,Curtis Lu,Male,1224 Shoenic,2019-12-30,East Brisbane,4169
11012,Lauren,Walker,Lauren Walker,Female,4785 Scott Street,2022-03-16,Bremerton,98312
11013,Ian,Jenkins,Ian Jenkins,Male,7902 Hudson Ave.,2022-04-13,Lebanon,97355
11014,Sydney,Bennett,Sydney Bennett,Female,9011 Tank Drive,2022-03-23,Redmond,98052
11015,Chloe,Young,Chloe Young,Female,244 Willow Pass Road,2022-01-18,Burbank,91502
11016,Wyatt,Hill,Wyatt Hill,Male,9666 Northridge Ct.,2022-02-09,Imperial Beach,91932
11017,Shannon,Wang,Shannon Wang,Female,7330 Saddlehill Lane,2020-01-12,Sunbury,3429
11018,Clarence,Rai,Clarence Rai,Male,244 Rivewview,2020-01-17,Bendigo,3550
11019,Luke,Lal,Luke Lal,Male,7832 Landing Dr,2022-02-12,Langley,V3A 4R2
11020,Jordan,King,Jordan King,Male,7156 Rose Dr.,2021-12-29,Metchosin,V9
11021,Destiny,Wilson,Destiny Wilson,Female,8148 W. Lake Dr.,2022-01-23,Beaverton,97005
11022,Ethan,Zhang,Ethan Zhang,Male,1769 Nicholas Drive,2022-01-20,Bellingham,98225
11023,Seth,Edwards,Seth Edwards,Male,4499 Valley Crest,2022-02-17,Bellflower,90706
11024,Russell,Xie,Russell Xie,Male,8734 Oxford Place,2022-06-27,Concord,94519
11025,Alejandro,Beck,Alejandro Beck,Male,2596 Franklin Canyon Road,2020-01-06,Hawthorne,4171
11026,Harold,Sai,Harold Sai,Male,8211 Leeds Ct.,2020-01-23,Goulburn,2580
11027,Jessie,Zhao,Jessie Zhao,Male,213 Valencia Place,2020-01-16,Warrnambool,3280
11028,Jill,Jimenez,Jill Jimenez,Female,9111 Rose Ann Ave,2020-01-26,St. Leonards,2065
11029,Jimmy,Moreno,Jimmy Moreno,Male,6385 Mark Twain,2020-01-19,Bendigo,3550
11030,Bethany,Yuan,Bethany Yuan,Female,636 Vine Hill Way,2020-02-05,Cloverdale,6105
11031,Theresa,Ramos,Theresa Ramos,Female,6465 Detroit Ave.,2020-02-01,Matraville,2036
11032,Denise,Stone,Denise Stone,Female,626 Bentley Street,2020-02-18,Melbourne,3000
11033,Jaime,Nath,Jaime Nath,Male,5927 Rainbow Dr,2020-02-15,Milsons Point,2061
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,5167 Condor Place,2020-02-01,North Sydney,2055
11035,Wendy,Dominguez,Wendy Dominguez,Female,1873 Mt. Whitney Dr,2020-02-06,Cranbourne,3977
11036,Jennifer,Russell,Jennifer Russell,Female,3981 Augustine Drive,2022-01-22,National City,91950
11037,Chloe,Garcia,Chloe Garcia,Female,8915 Woodside Way,2022-01-20,Cliffside,V8Y 1L1
11038,Diana,Hernandez,Diana Hernandez,Female,8357 Sandy Cove Lane,2020-02-07,Lavender Bay,2060
11039,Marc,Martin,Marc Martin,Male,9353 Creekside Dr.,2020-02-07,Wollongong,2500
11040,Jesse,Murphy,Jesse Murphy,Male,3350 Kingswood Circle,2022-04-03,Tacoma,98403
11041,Amanda,Carter,Amanda Carter,Female,5826 Escobar,2022-01-14,Glendale,91203
11042,Megan,Sanchez,Megan Sanchez,Female,1397 Paraiso Ct.,2022-01-21,Los Angeles,90012
11043,Nathan,Simmons,Nathan Simmons,Male,1170 Shaw Rd,2022-05-08,Glendale,91203
11044,Adam,Flores,Adam Flores,Male,6935 Candle Dr,2020-02-28,Hervey Bay,4655
11045,Leonard,Nara,Leonard Nara,Male,7466 La Vista Ave.,2022-04-10,Matraville,2036
11046,Christine,Yuan,Christine Yuan,Female,2356 Orange St,2020-02-06,Lavender Bay,2060
11047,Jaclyn,Lu,Jaclyn Lu,Female,2812 Mazatlan,2020-02-03,Geelong,3220
11048,Jeremy,Powell,Jeremy Powell,Male,1803 Potomac Dr.,2020-02-10,Sunbury,3429
11049,Carol,Rai,Carol Rai,Female,6064 Madrid,2022-03-09,Chula Vista,91910
11050,Alan,Zheng,Alan Zheng,Male,2741 Gainborough Dr.,2020-02-20,Hobart,7001
11051,Daniel,Johnson,Daniel Johnson,Male,8085 Sunnyvale Avenue,2022-12-29,Caloundra,4551
11052,Heidi,Lopez,Heidi Lopez,Female,2514 Via Cordona,2020-02-17,Matraville,2036
11053,Ana,Price,Ana Price,Female,1660 Stonyhill Circle,2022-01-17,San Diego,92102
11054,Deanna,Munoz,Deanna Munoz,Female,5825 B Way,2020-02-03,Geelong,3220
11055,Gilbert,Raje,Gilbert Raje,Male,8811 The Trees Dr.,2020-01-31,East Brisbane,4169
11056,Michele,Nath,Michele Nath,Female,5464 Janin Pl.,2020-02-26,Newcastle,2300
11057,Carl,Andersen,Carl Andersen,Male,6930 Lake Nadine Place,2020-02-22,Lane Cove,1597
11058,Marc,Diaz,Marc Diaz,Male,6645 Sinaloa,2020-03-09,Findon,5023
11059,Ashlee,Andersen,Ashlee Andersen,Female,8255 Highland Road,2022-02-18,Townsville,4810
11060,Jon,Zhou,Jon Zhou,Male,6574 Hemlock Ave.,2020-03-19,Warrnambool,3280
11061,Todd,Gao,Todd Gao,Male,8808 Geneva Ave,2020-03-13,Gold Coast,4217
11062,Noah,Powell,Noah Powell,Male,9794 Marion Ct,2022-01-07,Portland,97205
11063,Angela,Murphy,Angela Murphy,Female,4927 Virgil Street,2022-01-12,Redmond,98052
11064,Chase,Reed,Chase Reed,Male,2721 Alexander Pl.,2022-01-25,Downey,90241
11065,Jessica,Henderson,Jessica Henderson,Female,9343 Ironwood Way,2022-02-10,La Jolla,92806
11066,Grace,Butler,Grace Butler,Female,4739 Garden Ave.,2022-05-31,Lebanon,97355
11067,Caleb,Carter,Caleb Carter,Male,9563 Pennsylvania Blvd.,2022-08-18,Port Orchard,98366
11068,Tiffany,Liang,Tiffany Liang,Female,3608 Sinclair Avenue,2022-04-30,Warrnambool,3280
11069,Carolyn,Navarro,Carolyn Navarro,Female,4606 Springwood Court,2020-04-17,Gold Coast,4217
11070,Willie,Raji,Willie Raji,Male,6260 Vernal Drive,2020-04-28,Sunbury,3429
11071,Linda,Serrano,Linda Serrano,Female,9808 Shaw Rd.,2022-03-01,Hawthorne,4171
11072,Casey,Luo,Casey Luo,Female,9513 Roslyn Drive,2020-03-31,St. Leonards,2065
11073,Amy,Ye,Amy Ye,Female,2262 Kirkwood Ct.,2022-03-23,Springwood,2777
11074,Levi,Arun,Levi Arun,Male,4661 Bluetail,2022-03-23,Cloverdale,6105
11075,Felicia,Jimenez,Felicia Jimenez,Female,786 Eastgate Ave,2020-04-28,Bendigo,3550
11076,Blake,Anderson,Blake Anderson,Male,5436 Clear,2020-04-21,Wollongong,2500
11077,Leah,Ye,Leah Ye,Female,1291 Arguello Blvd.,2020-04-15,Melton,3337
11078,Gina,Martin,Gina Martin,Female,1349 Sol St.,2022-02-15,Cliffside,V8Y 1L1
11079,Donald,Gonzalez,Donald Gonzalez,Male,4236 Malibu Place,2022-03-15,Geelong,3220
11080,Damien,Chander,Damien Chander,Male,9941 Stonehedge Dr.,2020-04-10,Perth,6006
11081,Savannah,Baker,Savannah Baker,Female,1210 Trafalgar Circle,2022-02-12,Concord,94519
11082,Angela,Butler,Angela Butler,Female,6040 Listing Ct,2022-01-22,Fremont,94536
11083,Alyssa,Cox,Alyssa Cox,Female,867 La Orinda Place,2022-01-06,Lincoln Acres,91950
11084,Lucas,Phillips,Lucas Phillips,Male,8668 St. Celestine Court,2022-01-04,Lebanon,97355
11085,Emily,Johnson,Emily Johnson,Female,7926 Stephanie Way,2022-12-06,Newport Beach,92625
11086,Ryan,Brown,Ryan Brown,Male,2939 Wesley Ct.,2022-07-02,Santa Monica,90401
11087,Tamara,Liang,Tamara Liang,Female,3791 Rossmor Parkway,2022-02-25,Chula Vista,91910
11088,Hunter,Davis,Hunter Davis,Male,4308 Sand Pointe Lane,2022-01-13,San Diego,92102
11089,Abigail,Price,Abigail Price,Female,2685 Blackburn Ct,2021-12-29,Long Beach,90802
11090,Trevor,Bryant,Trevor Bryant,Male,5781 Sharon Dr.,2020-08-07,Los Angeles,90012
11091,Dalton,Perez,Dalton Perez,Male,6083 San Jose,2022-01-29,Haney,V2W 1W2
11092,Cheryl,Diaz,Cheryl Diaz,Female,7297 Kaywood Drive,2020-04-08,East Brisbane,4169
11093,Aimee,He,Aimee He,Female,1833 Olympic Drive,2020-04-07,Wollongong,2500
11094,Cedric,Ma,Cedric Ma,Male,3407 Oak Brook Place,2022-04-07,Cranbourne,3977
11095,Chad,Kumar,Chad Kumar,Male,1681 Lighthouse Way,2020-04-01,Port Macquarie,2444
11096,Andrés,Anand,Andrés Anand,Male,5423 Los Gatos Ct.,2020-04-11,North Sydney,2055
11097,Edwin,Nara,Edwin Nara,Male,719 William Way,2020-04-04,Warrnambool,3280
11098,Mallory,Rubio,Mallory Rubio,Female,6452 Harris Circle,2022-02-11,Rhodes,2138
11099,Adam,Ross,Adam Ross,Male,4378 Westminster Place,2020-04-07,Port Macquarie,2444
11100,Latasha,Navarro,Latasha Navarro,Female,6954 Ranch Road,2020-04-16,Cloverdale,6105
11101,Abby,Sai,Abby Sai,Female,7074 N. Spoonwood Court,2020-04-29,Cranbourne,3977
11102,Julia,Nelson,Julia Nelson,Female,2196 Coat Ct.,2022-07-16,Sydney,1002
11103,Cassie,Chande,Cassie Chande,Female,9448 San Marino Ct.,2020-04-15,Darlinghurst,2010
11104,Edgar,Sara,Edgar Sara,Male,6127 Lilly Lane,2020-05-04,Gold Coast,4217
11105,Candace,Fernandez,Candace Fernandez,Female,5029 Blue Ridge,2020-05-14,Matraville,2036
11106,Jessie,Liu,Jessie Liu,Male,3063 Blue Jay Drive,2020-05-18,Warrnambool,3280
11107,Bianca,Lin,Bianca Lin,Female,7530 Eola,2020-05-01,St. Leonards,2065
11108,Kari,Alvarez,Kari Alvarez,Female,9178 Thornhill Place,2020-05-03,Port Macquarie,2444
11109,Ruben,Kapoor,Ruben Kapoor,Male,1984 Glendale Circle,2020-05-10,South Melbourne,3205
11110,Curtis,Yang,Curtis Yang,Male,4052 Mt. Wilson Way,2020-05-01,Darlinghurst,2010
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,7610 Northridge Ct.,2020-05-20,Geelong,3220
11112,Crystal,Wang,Crystal Wang,Female,2773 Kirkwood Dr,2020-05-25,Hervey Bay,4655
11113,Micheal,Blanco,Micheal Blanco,Male,596 Marfargoa Drive,2022-02-01,Perth,6006
11114,Leslie,Moreno,Leslie Moreno,Female,7941 Cristobal,2022-03-18,Rhodes,2138
11115,Alvin,Cai,Alvin Cai,Male,7759 Azalea Avenue,2022-02-10,St. Leonards,2065
11116,Clinton,Carlson,Clinton Carlson,Male,7943 Cunha Ct.,2022-03-15,Sydney,1002
11117,April,Deng,April Deng,Female,485 Ash Lane,2020-05-06,Matraville,2036
11118,Alvin,Zeng,Alvin Zeng,Male,3853 Wildcat Circle,2022-07-10,Lavender Bay,2060
11119,Evan,James,Evan James,Male,4157 Sierra Ridge,2022-02-03,Port Macquarie,2444
11120,Beth,Jiménez,Beth Jiménez,Female,7401 Las Palmas,2020-05-14,Sydney,1002
11121,Orlando,Suarez,Orlando Suarez,Male,7743 Hames Dr,2022-06-24,Newcastle,2300
11122,Byron,Vazquez,Byron Vazquez,Male,3187 Hackamore Lane,2022-02-21,North Sydney,2055
11123,Philip,Alvarez,Philip Alvarez,Male,2775 Mt. Olivet Pl.,2022-04-17,Sunbury,3429
11124,Ross,Jordan,Ross Jordan,Male,6973 Dublin Court,2020-05-05,Warrnambool,3280
11125,Dana,Navarro,Dana Navarro,Female,8481 Zartop Street,2022-01-31,Seaford,3198
11126,Shaun,Carson,Shaun Carson,Male,57 Wolf Way,2020-05-28,North Ryde,2113
11127,Jan,Edwards,Jan Edwards,Female,9409 The Alameda,2022-04-10,San Gabriel,91776
